instance,ablation,time_limit_sec,dsatur,iterlp2_full,slo
DSJC1000.9,baseline,3,299.0,,316.0
DSJC1000.9,baseline,60,299.0,,
DSJC1000.9,full,3,,316.0,
DSJC250.9,baseline,3,92.0,,96.0
DSJC250.9,baseline,43200,92.0,,96.0
DSJC250.9,full,3,,96.0,
DSJC250.9,full,43200,,86.8,
DSJC500.9,baseline,3,170.0,,172.0
DSJC500.9,full,3,,172.0,
fpsol2.i.1,baseline,6000,65.0,,65.0
fpsol2.i.1,full,6000,,65.0,
inithx.i.1,baseline,6000,54.0,,54.0
inithx.i.1,full,6000,,54.0,
myciel3,baseline,5,4.0,,4.0
myciel3,baseline,10,4.0,,4.0
myciel3,baseline,300,4.0,,4.0
myciel3,full,5,,4.0,
myciel3,full,10,,4.0,
myciel3,full,300,,4.0,
myciel4,baseline,5,5.0,,5.0
myciel4,baseline,10,5.0,,5.0
myciel4,baseline,300,5.0,,5.0
myciel4,full,5,,5.0,
myciel4,full,10,,5.0,
myciel4,full,300,,5.0,
myciel5,baseline,5,6.0,,6.0
myciel5,baseline,10,6.0,,6.0
myciel5,baseline,300,6.0,,6.0
myciel5,full,5,,6.0,
myciel5,full,10,,6.0,
myciel5,full,300,,6.0,
myciel6,baseline,300,7.0,,7.0
myciel6,full,300,,7.0,
myciel7,baseline,300,8.0,,8.0
myciel7,full,300,,8.0,
