schema_id,num_cols,num_files,columns_sorted,example_file_1,example_file_2,example_file_3
38f0b8f97a,4,1,ablation|algo|instance|runs,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/coverage_instance_algo.csv,,
b7c592b23a,4,1,ablation|algo|time_limit_sec|win_count,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/win_count.csv,,
0d7ac4d04a,5,1,ablation|algo|count|share|stop_reason,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/stop_reason_dist.csv,,
c8c7ead491,6,2,ablation|dsatur|instance|iterlp2_full|slo|time_limit_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/ub_mean_wide.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/ub_min_wide.csv,
4d0555c337,6,1,avg_deg|density|family|instance|m|n,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/instance_overview.csv,,
37676f76e6,7,84,UB_mean|UB_min|algo|best_time_mean_sec|instance|runs|runtime_mean_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dimacs_all_safe_summary.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsatur_DSJC1000_seed0_summary_3079486.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsatur_DSJC1000_seed0_summary_3079487.csv
76576b73da,13,1,UB_mean|UB_min|UB_std|ablation|algo|best_time_mean_sec|best_time_std_sec|feasible_rate|instance|runs|runtime_mean_sec|runtime_std_sec|time_limit_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/_analysis_out/data/summary_long.csv,,
1c84042baf,25,2,LB|UB|algo|algo_seed|avg_deg|best_round|best_time_sec|conflicts|density|family|feasible|fix_policy|gap|init_heuristic|instance|iters|m|max_fix_per_round|n|perturb_y|restarts|runtime_sec|stop_reason|strong_margin|time_limit_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsatur_DSJC1000_seed0_runs_3079486.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsatur_DSJC1000_seed0_runs_3079487.csv,
74a81e418f,26,73,LB|UB|ablation|algo|algo_seed|avg_deg|best_round|best_time_sec|conflicts|density|family|feasible|fix_policy|gap|init_heuristic|instance|iters|m|max_fix_per_round|n|perturb_y|restarts|runtime_sec|stop_reason|strong_margin|time_limit_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dimacs_all_safe_runs.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed0_runs_3079251.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/dsjc24_DSJC250.9_seed0_runs_3079252.csv
da8be3d57c,29,9,LB|UB|ablation|algo|algo_seed|avg_deg|best_round|best_time_sec|conflicts|density|error|family|feasible|fix_policy|gap|init_heuristic|instance|iters|last_update_ts|m|max_fix_per_round|n|perturb_y|restarts|runtime_sec|status|stop_reason|strong_margin|time_limit_sec,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/time_DSJC1000.9_iterlp_seed0_runs_3079565.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/time_DSJC1000.9_iterlp_seed0_runs_3079566.csv,/mnt/g/Nextcloud/FSU_Cloud/毕设/ILP-Algorithm-for-Graph-Colouring-Problem/results/first_large/time_DSJC1000.9_iterlp_seed0_runs_3079567.csv
